1,SOLUSDT,SHORT,81.55,81.6,-0.06131207847945697,999.9386879215206
2,BTCUSDT,SHORT,66376.87,66400.81,-0.03606678049146085,999.9026211410292
3,ETHUSDT,LONG,1993.4,1993.7,0.015048198371739907,999.9176693394008
4,ETHUSDT,LONG,1994.02,1993.6,-0.021061244176217946,999.8966080952247
5,BTCUSDT,SHORT,66409.3,66457.65,-0.07280007365316499,999.8238080215715
6,SOLUSDT,SHORT,81.53,81.66,-0.1594373813493408,999.6643706402222
7,BTCUSDT,LONG,66439.88,66428.83,-0.016625995254021173,999.6477446449682
8,BTCUSDT,LONG,66440.66,66414.06,-0.04002162231314676,999.607723022655
9,ETHUSDT,LONG,1995.06,1997.55,0.12479537227738106,999.7325183949324
10,BTCUSDT,SHORT,66420.08,66426.0,-0.008909470931520065,999.7236089240009
11,SOLUSDT,SHORT,81.78,81.79,-0.01222362123557691,999.7113853027654
12,BTCUSDT,SHORT,66418.13,66460.58,-0.06389482556359156,999.6474904772018
13,ETHUSDT,SHORT,1997.64,1995.53,0.1055963844242924,999.7530868616261
14,BTCUSDT,SHORT,66393.22,66428.19,-0.052652473764623724,999.7004343878615
15,SOLUSDT,LONG,81.67,82.02,0.4284481209765685,1000.128882508838
16,ETHUSDT,SHORT,1997.58,2002.49,-0.24572378241895101,999.8831587264191
17,BTCUSDT,SHORT,66678.69,66626.68,0.07801098548770827,999.9611697119068
18,SOLUSDT,LONG,81.89,81.86,-0.0366392312556677,999.9245304806511
19,ETHUSDT,SHORT,2001.93,2003.05,-0.055943839698552225,999.8685866409526
20,BTCUSDT,SHORT,66572.27,66581.66,-0.014104424234886722,999.8544822167177
21,BTCUSDT,SHORT,66609.99,66676.91,-0.10045079116502044,999.7540314255526
22,BTCUSDT,SHORT,66536.31,66419.99,0.1747788372024429,999.9288102627551
23,ETHUSDT,SHORT,2004.13,1973.97,1.5046734085940676,1001.4334836713491
24,SOLUSDT,SHORT,81.71,80.83,1.0769028919731,1002.5103865633222
25,BTCUSDT,LONG,65875.66,66043.18,0.2542791590933681,1002.7646657224155
26,ETHUSDT,SHORT,1982.76,1984.5,-0.0879990779699516,1002.6766666444456
27,SOLUSDT,SHORT,81.26,81.34,-0.09872160135096178,1002.5779450430947
28,BTCUSDT,LONG,66013.25,65909.2,-0.15802620713529014,1002.4199188359594
29,BTCUSDT,SHORT,65908.43,66047.25,-0.21113525710264214,1002.2087835788567
30,ETHUSDT,SHORT,1980.71,1984.69,-0.20145605471126693,1002.0073275241455
31,ETHUSDT,SHORT,1982.47,1985.68,-0.16224424689163233,1001.8450832772538
32,ETHUSDT,LONG,1983.65,1983.94,0.014646488753074744,1001.8597297660069
33,BTCUSDT,SHORT,65941.75,66138.91,-0.2995913282475276,1001.5601384377594
34,SOLUSDT,SHORT,81.37,81.67,-0.3694263220563362,1001.190712115703
35,SOLUSDT,SHORT,82.09,81.97,0.1463550803433901,1001.3370671960464
36,BTCUSDT,SHORT,66493.04,66304.92,0.2832537010839051,1001.6203208971303
37,ETHUSDT,SHORT,2005.73,1997.96,0.38785139740338903,1002.0081722945338
38,ETHUSDT,SHORT,2001.16,2005.87,-0.2358361396143768,1001.7723361549195
39,BTCUSDT,SHORT,66541.85,66730.9,-0.28461045214414066,1001.4877257027753
40,ETHUSDT,SHORT,2008.32,2012.59,-0.2129923456113313,1001.2747333571639
41,SOLUSDT,SHORT,82.46,82.72,-0.3158632153774973,1000.9588701417864
1,ETHUSDT,SHORT,2044.25,2046.17,-0.093921976274921,999.9060780237251
1,BTCUSDT,LONG,67509.36,67469.13,-0.05959173661251703,999.9404082633874
2,SOLUSDT,LONG,83.71,83.61,-0.11946004061640703,999.820948222771
3,ETHUSDT,SHORT,2046.84,2045.9,0.04592171267746436,999.8668699354484
